  223    22    13     1.04e-12     5.06e-12     9.68e-12     7.79e-12     6.52e-12     7.06e-12     4.54e-12     1.21e-11     6.27e-12     9.02e-12     8.38e-12     1.65e-11     1.91e-11     8.14e-12     1.52e-11     6.24e-12
  224    22    14     2.17e-12     4.87e-12     1.42e-11     1.17e-11     8.22e-12     1.23e-11     1.29e-11     6.72e-12     1.24e-11     2.77e-12     9.68e-12     7.32e-12     1.75e-11     1.28e-11     4.17e-12     4.46e-12
  225    22    15     9.75e-12     8.32e-12     1.13e-11     1.25e-11     8.55e-12     1.40e-11     1.32e-11     7.70e-12     2.52e-11     1.15e-11     1.43e-11     2.06e-11     1.85e-11     1.68e-11     1.59e-13     1.43e-11
  226    22    16     8.52e-12     1.07e-11     1.86e-11     1.62e-11     3.41e-12     2.69e-11     2.22e-14     6.58e-12     2.01e-11     6.76e-12     1.78e-11     2.23e-11     2.23e-11     2.97e-11     2.78e-11     8.77e-12
  227    22    17     1.10e-11     2.68e-11     1.73e-11     1.91e-11     5.37e-12     2.26e-11     1.30e-12     8.96e-12     2.89e-11     9.62e-12     1.12e-11     2.31e-11     1.33e-11     2.33e-11     1.79e-11     1.63e-11
  228    22    18     1.08e-11     2.41e-11     1.43e-11     2.65e-11     1.63e-11     1.94e-11     1.38e-11     4.23e-11     2.58e-11     6.29e-12     1.81e-11     4.52e-11     5.02e-11     4.77e-11     5.26e-11     5.42e-11
  229    22    19     5.83e-11     5.52e-11     5.07e-11     4.80e-11     6.82e-11     6.87e-11     1.20e-11     4.98e-11     4.95e-11     2.09e-11     2.43e-11     6.87e-11     4.94e-11     5.13e-11     3.30e-11     3.57e-11
  230    22    20     6.55e-11     1.59e-11     2.52e-11     4.61e-11     6.09e-11     2.51e-11     8.53e-11     4.88e-11     8.30e-11     1.07e-10     4.97e-11     7.02e-11     1.49e-10     3.21e-12     1.40e-10     8.67e-11
  231    22    21     1.13e-10     6.76e-11     1.07e-10     1.37e-10     3.84e-11     5.76e-11     1.28e-10     7.53e-11     4.90e-11     7.58e-11     5.85e-11     8.85e-11     7.50e-11     4.01e-11     6.10e-11     8.36e-11
  232    23     1     8.09e-16     1.18e-15     3.63e-15     6.39e-15     1.40e-14     2.92e-14     3.64e-14     6.54e-14     2.01e-14     7.45e-14     6.49e-14     1.29e-13     1.21e-13     6.78e-14     2.28e-13     1.77e-13
  233    23     2     2.09e-15     2.88e-15     8.01e-15     1.46e-14     4.08e-14     1.16e-13     1.13e-13     2.60e-13     1.76e-13     3.31e-13     3.06e-13     2.48e-13     4.13e-14     2.95e-13     3.07e-13     1.96e-13
  234    23     3     1.98e-15     2.82e-15     2.00e-14     8.06e-14     9.00e-14     1.63e-13     2.29e-13     1.61e-13     3.08e-15     7.16e-13     3.44e-13     4.45e-13     4.23e-13     8.93e-13     7.95e-13     1.56e-12
  235    23     4     1.09e-14     1.13e-15     6.06e-14     1.17e-13     1.71e-13     1.81e-13     1.31e-13     2.47e-14     5.37e-13     6.87e-13     8.48e-13     1.06e-12     9.02e-13     3.76e-13     1.72e-12     1.31e-12
  236    23     5     6.99e-14     6.79e-14     1.83e-13     3.77e-14     3.00e-13     5.29e-14     5.29e-13     1.06e-12     8.66e-13     5.21e-13     9.37e-13     8.98e-13     6.85e-13     8.77e-13     1.79e-12     1.05e-12
  237    23     6     4.62e-14     1.27e-13     3.19e-13     3.57e-13     4.11e-13     5.09e-13     3.68e-13     6.95e-13     1.21e-12     4.08e-13     1.83e-12     1.99e-12     2.27e-12     1.01e-12     1.64e-12     2.28e-12
  238    23     7     2.03e-13     3.91e-13     5.22e-13     2.03e-13     5.96e-13     1.77e-12     9.95e-13     1.25e-12     1.98e-12     9.94e-13     1.55e-12     2.65e-12     1.64e-12     1.83e-12     3.58e-12     1.64e-12
  239    23     8     4.49e-13     4.37e-13     3.07e-13     5.68e-13     8.60e-13     1.14e-12     2.16e-12     2.75e-12     4.19e-13     2.64e-12     2.55e-12     3.19e-12     3.49e-12     2.92e-12     2.91e-12     6.09e-12
  240    23     9     3.20e-13     9.49e-13     1.47e-12     2.25e-12     1.38e-12     8.82e-13     1.94e-12     2.60e-12     1.48e-12     4.05e-12     2.81e-12     3.27e-12     2.38e-12     6.13e-12     1.05e-12     2.92e-12
  241    23    10     1.56e-12     1.05e-12     6.78e-14     1.15e-12     3.13e-12     2.90e-12     1.50e-12     3.77e-12     4.20e-12     1.71e-12     4.24e-12     2.81e-12     2.33e-12     1.93e-12     4.79e-12     7.34e-12
  242    23    11     9.86e-13     2.80e-12     2.35e-12     2.80e-12     4.34e-12     5.48e-12     2.16e-12     4.40e-12     5.40e-12     1.53e-12     2.99e-12     8.19e-12     1.60e-12     5.02e-12     1.53e-12     1.09e-11
  243    23    12     1.92e-12     4.61e-12     4.17e-12     6.06e-12     3.56e-12     9.90e-13     3.44e-12     7.62e-12     3.29e-12     6.30e-12     6.41e-12     7.57e-12     1.39e-11     5.35e-12     6.76e-12     7.62e-12
  244    23    13     1.78e-12     2.96e-12     4.75e-12     2.61e-12     6.05e-12     6.37e-12     1.26e-11     1.46e-11     5.23e-12     8.81e-12     7.73e-12     1.23e-11     1.18e-11     1.11e-11     6.15e-12     7.31e-12
  245    23    14     1.11e-11     4.57e-12     6.66e-12     4.85e-12     1.03e-11     3.40e-12     1.51e-11     4.25e-12     1.02e-11     7.38e-12     1.55e-11     8.26e-12     8.40e-12     1.43e-12     7.25e-12     9.63e-13
  246    23    15     4.31e-12     1.22e-11     1.25e-11     1.12e-11     5.65e-12     4.52e-12     5.12e-12     6.10e-12     5.60e-12     8.26e-12     7.68e-12     7.53e-12     5.02e-12     1.20e-11     1.31e-11     6.17e-12
  247    23    16     1.74e-12     5.86e-12     8.36e-12     1.94e-11     1.70e-11     1.80e-11     1.23e-11     1.42e-11     1.34e-11     7.70e-12     2.47e-11     2.30e-11     5.77e-12     1.88e-11     2.52e-11     4.09e-12
  248    23    17     5.08e-12     1.66e-11     1.25e-12     2.31e-11     1.78e-11     1.34e-11     1.28e-11     1.46e-11     1.17e-11     1.43e-11     9.05e-12     2.65e-11     2.22e-11     2.30e-11     2.56e-11     2.30e-11
  249    23    18     3.43e-11     2.32e-11     3.96e-11     1.03e-11     2.18e-11     1.43e-11     3.53e-11     2.23e-11     1.19e-11     1.91e-11     7.84e-12     2.12e-11     1.85e-11     5.04e-11     1.03e-11     2.78e-11
  250    23    19     2.69e-11     4.61e-11     2.67e-11     3.07e-11     2.11e-11     1.91e-11     7.89e-12     3.33e-11     3.46e-11     1.56e-11     1.42e-11     3.26e-12     4.48e-11     2.20e-11     1.88e-12     1.66e-11
  251    23    20     2.64e-11     2.90e-11     2.22e-11     2.86e-11     5.14e-11     1.08e-12     6.41e-11     7.60e-11     1.01e-11     1.49e-11     2.19e-11     6.02e-11     6.67e-12     5.11e-11     9.46e-11     9.20e-12
  252    23    21     4.43e-11     2.74e-11     6.00e-11     3.95e-11     3.51e-11     6.85e-11     9.61e-11     4.89e-11     8.02e-11     5.24e-11     6.07e-11     2.49e-11     8.34e-11     9.39e-11     1.22e-10     6.34e-11
  253    23    22     5.27e-11     1.02e-10     1.64e-10     1.05e-10     1.50e-10     9.10e-11     6.53e-11     1.36e-11     9.15e-11     1.27e-10     1.03e-10     5.01e-11     1.56e-10     5.00e-11     1.01e-10     7.65e-11
  254    24     1     2.94e-16     5.67e-16     8.53e-16     5.35e-15     5.95e-16     8.18e-15     4.05e-14     3.85e-14     3.06e-14     9.28e-14     8.14e-14     8.61e-14     9.11e-14     1.09e-13     1.75e-14     1.47e-13
  255    24     2     9.79e-16     1.76e-15     1.57e-15     7.30e-15     2.94e-14     5.10e-14     7.50e-14     1.25e-13     1.74e-13     2.07e-13     2.48e-13     8.05e-14     3.38e-13     1.37e-13     6.28e-13     3.28e-13
  256    24     3     9.23e-15     6.62e-15     9.55e-15     2.72e-14     7.09e-15     5.34e-14     1.54e-13     1.02e-13     1.82e-13     1.94e-13     1.70e-13     1.53e-13     1.23e-13     3.70e-13     7.31e-13     1.00e-12
  257    24     4     3.75e-15     9.45e-15     2.69e-14     1.02e-13     4.61e-14     1.17e-13     3.37e-13     2.08e-13     5.01e-13     9.81e-13     4.02e-13     2.46e-13     1.12e-12     1.75e-13     1.13e-12     2.00e-12
  258    24     5     7.49e-15     6.18e-14     5.69e-15     6.46e-14     1.85e-13     2.91e-13     1.96e-13     1.07e-14     6.68e-13     3.89e-13     4.30e-13     4.62e-13     1.57e-12     1.36e-13     1.37e-12     1.14e-12
  259    24     6     1.97e-14     6.11e-14     9.71e-14     3.06e-13     6.81e-13     7.72e-13     8.23e-13     4.82e-13     1.60e-12     4.33e-13     1.06e-12     1.72e-13     2.07e-12     1.16e-12     2.20e-12     2.05e-12
  260    24     7     1.40e-13     6.83e-14     1.43e-13     5.73e-13     5.65e-13     2.96e-13     1.50e-12     4.07e-13     1.55e-12     9.56e-13     1.73e-12     1.82e-12     2.94e-12     1.79e-12     1.42e-12     3.34e-12
  261    24     8     1.48e-13     1.86e-13     5.26e-13     5.69e-13     1.09e-13     1.44e-12     1.78e-12     1.57e-12     2.76e-12     3.15e-12     1.64e-12     3.10e-12     4.36e-12     2.12e-12     1.76e-13     1.59e-12
  262    24     9     4.62e-13     5.09e-13     6.13e-14     9.49e-13     1.51e-12     1.64e-12     2.31e-12     9.49e-13     7.56e-13     2.68e-12     2.47e-12     4.49e-12     3.54e-12     2.72e-12     2.67e-13     5.94e-12
  263    24    10     5.62e-13     3.75e-13     9.57e-13     4.33e-14     5.97e-13     1.56e-12     1.76e-12     3.96e-12     7.16e-12     3.42e-12     4.41e-12     3.30e-12     3.23e-12     2.07e-12     2.98e-12     2.35e-12
  264    24    11     1.13e-12     7.05e-13     2.11e-12     2.06e-12     4.93e-12     5.56e-12     4.86e-12     5.18e-12     4.85e-12     1.11e-11     4.57e-12     3.37e-12     3.00e-12     1.57e-12     6.60e-13     1.41e-12
  265    24    12     6.12e-13     4.43e-13     2.45e-12     2.49e-12     4.92e-12     5.18e-12     5.63e-12     3.10e-12     4.50e-12     6.01e-12     9.35e-12     4.87e-12     3.80e-12     2.62e-12     5.23e-12     7.11e-12
  266    24    13     2.76e-12     1.47e-12     3.59e-12     4.82e-12     1.25e-12     5.56e-12     5.32e-12     6.43e-12     3.79e-12     6.86e-12     6.64e-12     5.06e-12     1.25e-11     9.98e-12     9.49e-12     5.63e-12
  267    24    14     2.50e-12     3.88e-12     9.74e-12     5.03e-12     5.79e-12     7.47e-12     5.97e-12     1.07e-11     8.53e-12     7.71e-12     1.47e-11     2.09e-12     1.13e-11     1.15e-11     5.15e-12     1.41e-11
  268    24    15     4.74e-12     9.13e-12     3.32e-12     8.08e-12     7.26e-12     1.10e-11     8.83e-12     5.32e-12     9.34e-12     1.44e-11     5.81e-12     1.52e-11     1.18e-11     2.32e-11     1.48e-11     1.32e-11
  269    24    16     1.38e-11     7.08e-12     8.25e-12     6.97e-12     5.09e-12     1.18e-11     8.91e-12     1.18e-11     1.36e-11     1.12e-11     3.96e-13     6.11e-12     1.08e-11     6.68e-12     1.65e-11     1.54e-11
  270    24    17     1.17e-11     2.24e-11     1.34e-11     1.49e-11     1.12e-11     7.57e-12     1.81e-11     1.30e-11     2.25e-11     1.21e-11     4.72e-12     1.54e-11     1.57e-11     2.56e-11     7.89e-12     2.67e-11
  271    24    18     1.66e-11     3.20e-13     2.25e-11     6.40e-12     1.27e-11     1.32e-11     1.80e-11     1.69e-11     1.81e-11     2.02e-11     2.64e-11     2.07e-11     4.61e-12     3.37e-11     6.52e-12     1.15e-11
  272    24    19     7.10e-12     1.78e-11     3.07e-11     1.02e-11     3.58e-11     2.78e-11     1.73e-11     5.98e-12     3.31e-11     2.96e-12     1.94e-11     4.41e-11     2.58e-11     2.98e-11     1.95e-11     1.73e-11
  273    24    20     9.85e-12     1.85e-11     2.69e-11     1.82e-11     3.26e-11     3.20e-11     2.21e-11     2.98e-11     3.63e-11     3.41e-11     4.28e-11     1.74e-11     2.55e-11     2.96e-11     3.26e-11     4.31e-11
  274    24    21     7.29e-11     2.28e-11     5.66e-11     5.93e-11     7.55e-11     6.04e-12     4.51e-12     3.46e-11     1.94e-11     3.89e-11     5.90e-11     4.54e-11     3.74e-11     4.99e-11     5.71e-11     6.06e-11
  275    24    22     4.60e-11     4.28e-11     1.54e-11     3.87e-11     1.38e-11     9.90e-11     3.82e-11     2.02e-11     7.09e-11     8.41e-11     1.00e-10     3.49e-11     1.07e-10     1.63e-10     1.11e-10     6.51e-12
  276    24    23     1.11e-10     8.27e-11     2.03e-10     5.02e-11     1.62e-10     7.19e-11     1.83e-10     1.05e-10     7.10e-11     1.14e-11     3.61e-11     1.07e-10     8.80e-11     9.28e-11     3.85e-11     7.48e-11
  277    25     1     1.01e-16     8.82e-17     1.26e-15     9.38e-16     4.61e-15     2.28e-14     1.33e-14     2.88e-14     1.19e-14     4.80e-14     5.06e-14     7.17e-14     5.68e-14     8.35e-14     1.17e-13     7.16e-14
  278    25     2     1.61e-15     1.09e-15     3.06e-15     9.85e-16     1.09e-14     2.35e-14     5.58e-14     1.07e-13     1.01e-13     1.24e-13     8.93e-14     2.18e-13     2.82e-13     3.23e-13     1.04e-13     9.07e-14
  279    25     3     1.33e-15     2.74e-15     1.61e-15     1.53e-14     6.38e-14     1.34e-14     1.34e-13     3.73e-14     2.24e-13     3.24e-13     3.98e-13     3.35e-13     6.74e-13     2.90e-13     6.79e-13     5.23e-13
  280    25     4     5.94e-15     1.22e-14     2.12e-14     4.61e-14     1.37e-13     6.33e-14     2.63e-13     1.30e-13     1.95e-13     1.87e-13     2.13e-13     2.70e-13     1.70e-13     7.32e-13     5.87e-13     9.84e-13
  281    25     5     1.66e-14     2.91e-14     3.14e-14     9.05e-14     1.25e-13     1.26e-13     2.27e-13     2.02e-13     6.97e-13     2.64e-13     1.34e-13     6.65e-13     9.22e-15     1.76e-12     6.60e-13     5.77e-13
  282    25     6     3.87e-14     7.66e-14     2.73e-14     1.32e-13     2.09e-13     1.86e-13     3.69e-13     6.66e-13     7.37e-13     6.81e-13     8.89e-13     1.76e-12     7.55e-13     1.14e-12     2.36e-12     1.57e-12
  283    25     7     6.88e-14     1.18e-13     1.44e-14     4.02e-13     2.16e-13     7.03e-13     5.62e-13     8.07e-13     1.78e-12     8.10e-13     1.41e-12     9.89e-13     2.07e-12     2.15e-12     1.31e-12     1.28e-12
  284    25     8     6.45e-14     1.23e-13     3.60e-13     4.30e-13     2.15e-13     4.82e-13     2.02e-12     1.57e-13     9.37e-13     1.18e-12     3.18e-12     1.25e-12     7.88e-13     3.57e-12     3.38e-12     1.42e-12
  285    25     9     1.52e-13     2.49e-13     2.65e-13     6.26e-13     9.11e-13     8.82e-13     2.31e-12     5.38e-13     2.76e-12     9.73e-13     3.39e-12     1.43e-12     9.51e-13     2.88e-12     3.05e-12     2.48e-12
  286    25    10     5.07e-13     1.54e-13     6.23e-13     6.93e-13     6.93e-13     2.49e-13     2.12e-12     1.94e-12     2.21e-12     2.50e-12     4.26e-13     4.53e-12     1.47e-12     1.90e-12     4.65e-12     3.01e-12
  287    25    11     9.59e-13     4.85e-13     7.34e-13     3.10e-12     1.26e-12     1.77e-12     3.98e-12     2.55e-13     1.21e-12     4.73e-12     2.82e-12     2.93e-12     5.99e-13     2.47e-12     3.54e-12     5.26e-12
  288    25    12     8.13e-13     1.19e-12     2.63e-13     1.97e-12     3.07e-12     2.66e-12     4.58e-12     3.58e-12     4.62e-12     3.51e-12     5.51e-12     4.13e-12     7.48e-12     3.82e-12     8.49e-12     6.29e-12
  289    25    13     1.79e-12     1.35e-12     3.29e-12     3.21e-12     3.37e-12     5.05e-12     5.57e-12     7.31e-12     2.31e-12     5.01e-12     8.60e-12     5.88e-12     1.11e-11     8.24e-12     2.27e-12     2.65e-12
  290    25    14     2.77e-12     3.67e-12     3.91e-12     5.94e-12     4.82e-12     5.04e-12     9.89e-12     7.17e-12     6.19e-12     9.84e-12     8.98e-12     1.12e-11     7.21e-12     4.62e-12     5.60e-12     6.29e-12
  291    25    15     6.26e-12     4.00e-12     5.18e-12     4.04e-12     2.89e-12     5.70e-12     7.23e-12     1.05e-11     1.57e-12     9.94e-12     6.31e-12     1.18e-11     1.24e-11     1.06e-11     9.25e-12     1.04e-11
  292    25    16     9.14e-12     5.12e-12     3.80e-12     4.06e-12     4.76e-12     7.73e-12     1.23e-12     6.01e-12     5.39e-12     6.70e-12     4.30e-12     1.34e-11     1.50e-11     1.14e-11     3.23e-12     7.44e-12
  293    25    17     8.56e-12     8.66e-12     1.23e-11     1.70e-11     1.56e-12     1.07e-11     1.06e-12     1.49e-11     4.19e-12     1.33e-11     1.14e-11     1.27e-11     1.52e-11     1.68e-11     6.07e-12     3.44e-12
  294    25    18     2.34e-11     8.59e-12     2.62e-11     1.13e-11     6.21e-12     5.01e-12     8.81e-12     6.05e-12     1.61e-11     1.44e-11     1.73e-11     1.03e-11     9.12e-12     1.15e-11     1.97e-11     8.38e-12
  295    25    19     1.05e-11     1.43e-11     1.24e-11     3.56e-12     2.80e-11     1.06e-11     1.51e-11     1.19e-11     1.99e-11     2.20e-11     5.31e-12     1.11e-11     7.01e-12     1.64e-11     2.52e-11     3.29e-11
  296    25    20     2.04e-11     1.24e-11     2.11e-11     3.79e-11     2.60e-11     2.21e-11     1.70e-11     2.08e-11     3.22e-11     2.70e-11     2.91e-11     4.09e-11     3.08e-11     2.25e-11     4.64e-12     2.39e-11
  297    25    21     2.60e-11     8.59e-12     6.43e-12     1.94e-11     2.34e-11     2.95e-11     7.68e-12     2.93e-11     3.37e-11     4.04e-11     1.29e-11     4.80e-12     3.38e-11     2.90e-11     5.39e-11     4.72e-11
  298    25    22     6.52e-11     4.22e-11     3.77e-11     7.98e-11     1.70e-11     2.07e-11     6.75e-11     2.10e-11     3.19e-11     5.01e-11     3.81e-11     5.29e-11     4.64e-11     4.54e-11     4.18e-11     7.04e-11
  299    25    23     1.40e-11     4.13e-11     2.84e-11     4.05e-11     3.42e-11     7.76e-11     1.33e-10     4.85e-11     1.14e-10     1.07e-13     6.46e-11     1.76e-11     1.00e-10     2.54e-11     6.87e-11     6.97e-11
  300    25    24     1.06e-10     1.16e-10     1.58e-10     1.31e-10     1.01e-10     1.99e-11     1.28e-10     6.98e-11     1.32e-10     1.02e-10     1.32e-10     4.45e-11     9.25e-11     3.48e-11     1.12e-10     5.52e-11
  301    26     1     5.70e-17     2.40e-16     1.91e-16     1.15e-15     4.03e-15     8.08e-15     1.92e-14     2.12e-14     3.55e-15     4.58e-14     7.43e-14     4.36e-14     4.47e-15     1.13e-13     7.58e-14     1.27e-13
  302    26     2     7.02e-16     1.41e-15     1.97e-15     7.37e-15     1.82e-14     2.81e-14     3.35e-14     6.98e-15     9.67e-16     5.26e-14     1.13e-13     1.42e-13     1.43e-13     2.27e-13     3.15e-13     1.94e-13
  303    26     3     6.64e-16     2.36e-15     6.06e-15     1.03e-14     4.20e-14     2.64e-14     6.29e-14     1.29e-13     8.80e-14     1.85e-13     1.11e-13     3.40e-13     1.14e-13     4.93e-13     4.45e-13     4.77e-13
  304    26     4     5.94e-15     5.36e-15     6.76e-15     2.08e-14     1.91e-14     9.04e-14     2.09e-13     3.41e-13     4.92e-13     1.86e-13     3.08e-13     3.86e-14     7.60e-13     3.28e-13     2.85e-13     9.24e-13
  305    26     5     1.15e-14     7.34e-15     1.81e-14     4.42e-14     1.07e-14     2.10e-13     1.29e-13     2.19e-13     3.54e-13     5.47e-13     7.03e-13     9.80e-13     6.63e-13     6.30e-13     1.27e-12     1.09e-12
  306    26     6     2.97e-14     2.02e-14     5.05e-14     1.93e-13     1.81e-13     1.16e-13     6.02e-13     3.83e-13     4.67e-13     6.53e-14     2.75e-13     1.14e-12     2.79e-13     1.42e-12     3.96e-13     1.22e-12
  307    26     7     3.64e-14     7.06e-14     8.81e-14     2.92e-13     1.77e-13     4.20e-13     4.26e-13     8.52e-13     6.86e-13     1.18e-12     1.97e-12     1.42e-12     2.00e-12     1.16e-12     3.50e-13     1.07e-12
  308    26     8     1.44e-13     7.54e-14     2.91e-13     1.57e-13     2.14e-13     2.37e-13     9.49e-13     3.19e-13     1.13e-12     1.03e-12     1.49e-12     2.36e-12     1.03e-12     8.25e-13     2.21e-12     1.15e-12
  309    26     9     1.88e-13     2.09e-13     2.30e-13     6.61e-13     8.17e-13     9.06e-13     1.37e-12     1.03e-12     6.59e-13     1.45e-12     2.26e-12     2.68e-12     3.62e-12     2.02e-12     2.33e-13     1.96e-12
  310    26    10     5.97e-13     5.08e-13     5.73e-13     7.66e-13     1.01e-12     8.55e-13     2.20e-12     1.18e-12     2.05e-12     8.06e-13     5.59e-13     3.08e-12     5.80e-12     3.61e-12     5.73e-13     2.80e-12
  311    26    11     4.28e-13     5.09e-13     8.04e-13     1.04e-12     3.11e-12     1.54e-12     1.58e-12     2.68e-12     3.16e-12     4.75e-12     7.43e-13     3.65e-12     6.53e-13     4.03e-12     1.22e-12     6.19e-12
  312    26    12     1.13e-12     1.27e-12     6.67e-13     1.85e-12     2.68e-12     2.56e-12     2.56e-12     4.19e-12     4.50e-12     3.38e-12     2.18e-12     4.68e-12     6.40e-12     6.39e-12     2.44e-12     1.43e-13
  313    26    13     1.27e-12     2.75e-12     1.89e-12     2.98e-12     2.62e-12     4.80e-12     3.86e-12     1.55e-12     4.67e-12     2.44e-12     2.41e-12     7.48e-14     6.06e-12     3.89e-12     7.26e-12     5.22e-12
  314    26    14     2.83e-12     5.10e-12     2.61e-12     2.64e-12     1.99e-12     2.47e-12     6.74e-12     6.41e-12     6.00e-12     1.89e-12     1.83e-12     7.15e-12     6.31e-12     1.62e-12     1.08e-11     4.26e-12
  315    26    15     2.49e-12     8.15e-13     3.39e-12     9.01e-12     5.08e-12     2.47e-12     6.13e-12     5.35e-12     1.04e-11     2.24e-12     4.85e-12     4.52e-12     5.52e-12     9.60e-12     7.52e-12     8.15e-13
  316    26    16     5.16e-12     7.18e-13     4.89e-12     3.73e-12     7.57e-12     1.06e-11     1.07e-11     9.03e-12     5.89e-12     1.40e-12     3.96e-12     1.06e-11     1.53e-11     1.43e-11     1.31e-11     4.36e-12
  317    26    17     4.97e-12     8.06e-12     5.19e-12     6.35e-12     3.27e-12     7.68e-12     7.33e-12     1.57e-11     1.62e-12     1.38e-11     1.80e-11     1.13e-11     9.51e-12     9.25e-12     8.47e-12     1.86e-11
  318    26    18     3.12e-12     5.10e-12     1.07e-11     7.29e-12     6.96e-12     5.70e-12     1.32e-11     4.73e-12     7.67e-12     9.89e-12     9.06e-12     3.89e-12     9.21e-12     8.60e-12     1.34e-11     5.39e-12
  319    26    19     1.83e-11     1.28e-11     2.37e-11     1.36e-11     9.68e-12     2.06e-11     9.10e-12     9.82e-13     2.48e-11     1.94e-11     1.92e-11     2.20e-12     1.10e-11     1.60e-11     1.99e-11     2.40e-11
  320    26    20     1.28e-11     1.32e-11     1.72e-12     1.62e-11     9.78e-12     1.69e-11     1.15e-11     8.74e-12     1.99e-12     2.63e-11     6.62e-12     1.97e-11     2.22e-11     1.03e-11     5.87e-12     2.00e-11
  321    26    21     2.65e-11     3.02e-11     3.72e-11     9.81e-12     2.76e-11     2.22e-11     4.68e-11     2.17e-11     1.59e-11     3.59e-11     1.48e-12     2.16e-11     4.41e-11     2.62e-11     2.16e-11     2.98e-11
  322    26    22     2.13e-11     2.91e-11     6.59e-12     1.88e-11     1.90e-11     3.18e-11     1.28e-11     5.53e-12     3.20e-11     2.20e-11     2.30e-11     2.51e-11     2.86e-11     4.19e-11     3.38e-11     4.35e-11
  323    26    23     3.47e-11     3.55e-11     5.32e-14     2.90e-11     7.68e-11     2.68e-11     4.77e-11     3.46e-11     3.94e-11     2.48e-11     5.81e-11     1.70e-11     7.19e-11     7.40e-11     4.35e-11     1.51e-11
  324    26    24     1.36e-11     1.41e-11     4.10e-11     3.49e-11     2.98e-11     5.29e-11     9.69e-11     2.64e-11     1.35e-11     1.19e-10     7.89e-11     6.93e-11     1.18e-10     9.77e-11     1.37e-10     6.25e-11
  325    26    25     1.68e-10     6.73e-11     1.00e-10     1.14e-10     5.57e-11     1.29e-10     7.45e-11     6.98e-11     3.67e-11     7.51e-11     9.15e-11     6.65e-11     1.06e-10     8.72e-11     9.54e-13     1.31e-10
  326    27     1     7.55e-17     2.25e-16     2.00e-16     5.61e-16     2.87e-15     9.14e-15     1.17e-14     1.44e-14     2.56e-14     3.28e-14     5.03e-14     5.27e-14     5.23e-14     3.23e-14     4.96e-14     7.76e-14
  327    27     2     9.90e-17     4.03e-16     1.58e-15     4.50e-15     1.27e-14     1.76e-14     3.92e-15     3.04e-14     1.25e-14     3.66e-14     1.44e-13     1.89e-13     5.16e-14     1.11e-13     1.32e-13     4.15e-13
  328    27     3     5.18e-16     1.40e-15     1.49e-15     4.82e-15     5.19e-15     2.04e-14     7.43e-14     4.10e-14     1.24e-13     1.29e-13     2.12e-13     3.01e-13     2.91e-13     2.24e-13     3.43e-13     2.25e-13
  329    27     4     1.75e-15     1.63e-15     7.18e-15     9.66e-15     8.82e-14     5.87e-14     1.11e-13     1.32e-13     2.25e-13     1.72e-13     2.18e-13     3.39e-13     4.48e-13     3.34e-13     5.38e-13     6.94e-13
  330    27     5     5.34e-15     1.16e-14     1.45e-14     2.14e-14     8.33e-14     1.14e-13     2.51e-13     7.02e-14     1.12e-14     4.24e-13     3.99e-13     5.52e-13     7.24e-13     6.17e-13     8.98e-13     1.09e-12
  331    27     6     1.66e-14     2.27e-14     5.90e-15     3.64e-14     1.45e-13     1.06e-13     3.14e-13     1.79e-13     3.79e-13     3.84e-13     8.09e-13     9.61e-13     3.27e-13     1.04e-12     1.50e-12     4.02e-13
  332    27     7     6.19e-15     3.06e-14     5.64e-14     1.10e-13     2.57e-13     9.41e-14     3.18e-13     3.57e-13     7.93e-13     9.54e-13     6.49e-13     9.74e-13     7.27e-13     1.17e-12     7.32e-13     1.62e-12
  333    27     8     4.26e-14     3.61e-14     4.11e-15     1.58e-13     1.54e-13     5.48e-13     8.50e-13     7.97e-13     1.00e-12     5.06e-13     7.24e-13     1.45e-12     2.31e-12     1.53e-12     1.83e-12     2.09e-12
  334    27     9     1.19e-13     8.04e-14     2.15e-13     4.16e-13     4.82e-13     7.66e-13     8.55e-13     7.82e-13     6.84e-13     3.97e-13     8.69e-13     2.55e-12     1.07e-12     2.57e-13     4.13e-12     3.15e-13
  335    27    10     3.20e-13     1.34e-13     2.08e-13     3.32e-13     1.16e-12     3.00e-13     1.21e-12     1.77e-12     1.15e-12     1.69e-12     3.09e-12     2.23e-12     3.80e-12     3.05e-12     1.01e-12     1.64e-12
  336    27    11     4.26e-13     5.14e-13     6.52e-13     8.02e-13     7.47e-13     1.95e-12     1.69e-12     2.36e-12     4.44e-13     1.62e-12     2.28e-12     2.99e-12     2.99e-12     3.85e-12     4.44e-12     5.18e-12
  337    27    12     2.41e-13     7.03e-13     7.26e-13     2.57e-13     1.16e-12     1.00e-12     1.39e-12     2.99e-12     3.12e-12     2.80e-12     3.26e-12     2.91e-12     3.38e-12     3.86e-12     3.16e-12     3.58e-12
  338    27    13     7.53e-13     1.47e-12     1.26e-12     2.24e-12     2.22e-12     4.68e-12     1.72e-12     3.60e-12     3.62e-12     4.60e-12     3.88e-12     4.50e-12     4.87e-12     3.05e-12     4.92e-12     4.88e-12
  339    27    14     6.97e-13     9.97e-13     1.38e-12     1.67e-12     2.16e-12     2.63e-12     6.53e-12     5.03e-12     4.43e-12     7.58e-12     5.01e-12     6.16e-12     4.01e-12     4.05e-12     8.87e-12     2.61e-12
